id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
539652494580633051,Budget room twin - Value Stay Brussels Expo,130414928,Value Stay,,Bruxelles,50.90471,4.35264,Entire home/apt,114,1,1,2022-03-26,0.37,9,238,1,
539668393201274588,Best value room twin - Value Stay Brussels Expo,130414928,Value Stay,,Bruxelles,50.90555,4.35282,Entire home/apt,133,1,0,,,9,248,0,
539659525479604563,Budget room double - Value Stay Brussels Expo,130414928,Value Stay,,Bruxelles,50.90486,4.3527,Entire home/apt,114,1,0,,,9,222,0,
16370312,Grande Maison avec jardin / Sud de Bruxelles,44743837,Florent,,Uccle,50.77063,4.3225,Entire home/apt,85,4,10,2021-08-13,0.15,1,16,2,
2352,"Triplex-2chmbrs,grande sdb,terrasse= tous confort",2582,Oda,,Molenbeek-Saint-Jean,50.85702,4.30771,Entire home/apt,95,2,21,2022-03-25,0.21,2,215,6,
2354,COURT/Long- 1chmb+1salon+sdd+terras,2582,Oda,,Molenbeek-Saint-Jean,50.85709,4.30757,Entire home/apt,74,2,5,2022-05-27,0.07,2,304,3,
938771,Loft Apartment near Tour & Taxis,101192,Eve,,Bruxelles,50.87224,4.34684,Entire home/apt,106,3,222,2022-06-13,2.00,1,297,41,
539691452326933931,Executive room double - Value Stay Brussels Expo,130414928,Value Stay,,Bruxelles,50.9053,4.35462,Entire home/apt,157,1,0,,,9,245,0,
952213,"Luminous, Modern & Design Flat in the City Center!",5168736,Luca,,Saint-Josse-ten-Noode,50.85504,4.36895,Entire home/apt,109,3,357,2022-05-29,3.65,5,95,41,
48180,Top Apart/location 0 default 2rooms,219560,Ahmet,,Woluwe-Saint-Pierre,50.83771,4.40707,Entire home/apt,200,2,0,,,1,365,0,
52796,Bright apartment in Ixelles/Louise,244722,Pierre,,Ixelles,50.83362,4.36057,Entire home/apt,74,5,105,2020-02-28,0.76,1,297,0,
956076,"quiet area, easy communications",5195596,Martine,,Forest,50.81678,4.343,Entire home/apt,58,2,121,2022-06-12,1.10,1,193,35,
2066291,"Paradise in the city, universities and EU nearby",10568949,Katleen,,Ixelles,50.82105,4.38366,Private room,38,2,33,2022-05-28,0.70,1,0,10,
957524,Nice duplex with private garden,5207743,Carine & Her Sister,,Saint-Josse-ten-Noode,50.85397,4.37615,Entire home/apt,60,3,325,2022-06-06,2.88,1,21,38,
964913,Comfortable studio near Mérode & Montgomery,995442,Julien,,Etterbeek,50.83335,4.40382,Entire home/apt,62,1,118,2022-04-01,1.05,11,312,17,
80257,New-York,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,95,1,7,2021-12-05,0.06,16,320,3,
80320,Médina,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,85,1,66,2022-05-29,0.49,16,338,4,
80373,Villa Romaine,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,89,1,7,2022-05-14,0.09,16,330,1,
2087937,Flat in Brussels,7881364,Valeska,,Saint-Josse-ten-Noode,50.85021,4.37201,Entire home/apt,59,2,212,2022-04-08,2.06,1,176,17,
96293,Grand Famille Luxe,433586,Kristella/Francesco,,Anderlecht,50.84053,4.3363,Entire home/apt,135,1,52,2022-04-10,0.38,16,310,4,
96642,Violetta,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,70,1,26,2021-05-09,0.19,16,280,0,
967338,quiet-charming room(sgl or cpl)30M2,5277485,Martine,,Woluwe-Saint-Lambert,50.8478,4.43279,Private room,40,21,4,2018-07-05,0.04,2,274,0,
972913,Bright & Luxury apt on Louise Ave.,9463457,Valerio,,Bruxelles,50.82587,4.36428,Entire home/apt,145,4,166,2022-02-05,1.47,3,278,9,
982587,Studio between EU & Central Station,995442,Julien,,Bruxelles,50.84814,4.36796,Entire home/apt,61,1,132,2021-09-17,1.50,11,35,12,
96694,Mimosa,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,91,1,40,2022-06-12,0.31,16,308,5,
2144363,"Large room Etterbeek,kitchen&bathroom.Please VAX!",10933904,Cendre,,Etterbeek,50.83484,4.3911,Private room,40,1,93,2022-02-19,0.94,2,257,4,
97740,A la Villa des Roses Voltaire B&B,517059,Benoît,,Schaerbeek,50.87048,4.37904,Hotel room,95,2,3,2016-05-26,0.02,2,165,0,
985143,Room in the heart of Ixelles EUarea,5312569,Florian,,Ixelles,50.8374,4.36335,Private room,46,1,341,2021-12-03,3.03,1,0,17,
992573,Large house & garden - back room,1823420,Vincent,,Woluwe-Saint-Lambert,50.86149,4.42712,Private room,55,3,102,2022-06-05,0.94,3,355,6,
97768,Charming & cosy B&B in Uccle.,510480,Françoise,,Uccle,50.80688,4.33337,Private room,75,7,2,2021-06-30,0.06,2,119,1,
2191342,B&B Villa Voltaire Bruxelles. Superbe duplex.,517059,Benoît,,Schaerbeek,50.8704,4.37707,Private room,95,2,4,2019-08-25,0.06,2,165,0,
106677,Charming Flat/Studio with garden.,510480,Françoise,,Uccle,50.80657,4.33571,Entire home/apt,85,3,1,2019-09-30,0.03,2,319,0,
1007943,GET TO SEE BRUSSELS AS WE LIKE IT!,4259852,Amaryllis,,Bruxelles,50.83825,4.34146,Entire home/apt,51,3,358,2022-05-31,3.26,1,91,33,
1012058,At Mafalda's: small cosy apartment,5567205,Zoé,,Etterbeek,50.82972,4.38636,Entire home/apt,55,2,17,2022-05-29,0.15,1,66,1,
118707,"Appart. ""Sydney""",433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,100,1,45,2020-01-06,0.33,16,334,0,
2205147,Sunny and Spacious (St-Gilles),10741794,Sidney,,Saint-Gilles,50.82889,4.33292,Entire home/apt,70,5,80,2022-01-14,0.80,1,159,3,
130097,Very close to Grand'Place,641036,Pascal,,Bruxelles,50.84581,4.35008,Hotel room,95,2,98,2022-06-01,0.73,2,261,59,
134357,"Gare du Midi - Appart.  ""Florence""",433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,70,1,23,2022-05-07,0.24,16,291,8,
1012995,Independent and renovated studio,121049202,Romain,,Ixelles,50.81589,4.39365,Entire home/apt,54,4,61,2022-04-29,0.55,1,270,11,
1017600,Luxury house in Brussels (300m2),5600111,Stephan,,Watermael-Boitsfort,50.81149,4.39539,Entire home/apt,320,5,20,2018-08-22,0.18,1,333,0,
1021068,Very beautiful penthouse downtown,3154450,Anna,,Bruxelles,50.85588,4.34619,Entire home/apt,150,2,2,2013-06-10,0.02,1,176,0,
134361,"Gare du Midi - Appart.  ""Lilas""",433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,100,1,26,2022-06-01,0.23,16,305,7,
